year,URACRS,OJUDXC,ZLVJZY,VRUUYH,CQUQOZ,UIPTXG,VHORCN,LDLAIT,SFOQAY,IEIFGC,JQNKGR,EBEFRI,QRBHUF,HXVJWC,JDTJUH,CKZWBW,UUDRAE,OMZFUP
102,100.3276,103.0745,97.9898,100.1084,50.6713,0,0,0,0,51.2675,104.0129,96.3326,100.9866,98.5721,0,0,0,0
103,99.9881,102.8984,98.2271,99.9817,50.7402,0,0,0,0,51.0051,104.508,95.9709,100.6101,98.7414,0,0,0,0
104,100.073,102.8336,98.3602,100.4336,49.8008,0,0,0,0,51.4606,104.5549,95.864,100.1429,98.4787,0,0,0,0
105,100.1141,103.2125,98.1432,100.4425,49.8538,0,0,0,0,51.4002,104.354,96.118,100.3107,98.5831,0,0,0,0
106,100.3407,103.5079,98.0829,99.97,49.858,0,0,0,0,51.4866,104.0269,96.0787,100.5142,98.6532,0,0,0,0
107,99.9865,103.6649,98.4991,99.6623,49.7409,0,0,0,0,51.7723,103.5725,95.9003,100.5501,98.7585,0,0,0,0
108,99.9915,103.547,98.9602,99.717,49.3836,0,0,0,0,52.4409,103.4115,96.0249,100.2741,98.4479,0,0,0,0
109,99.8219,103.4014,99.095,99.9268,49.6401,0,0,0,0,52.0114,103.8949,95.9287,100.1566,98.8936,0,0,0,0
110,99.3363,102.942,98.9191,99.5543,50.3927,0,0,0,0,51.0904,103.8693,95.5426,100.6384,99.0037,0,0,0,0
111,99.177,102.9127,99.2897,99.4112,50.109,0,0,0,0,50.9891,103.9452,95.8808,100.564,98.5205,0,0,0,0
112,99.6644,102.793,99.4516,98.925,49.6957,0,0,0,0,51.3739,103.6905,95.4286,100.202,98.8347,0,0,0,0
113,99.4482,102.5223,99.5256,99.3083,50.0068,0,0,0,0,51.2167,103.6619,95.6578,100.0053,99.2694,0,0,0,0
114,99.0846,102.7529,99.899,99.0168,50.237,0,0,0,0,51.0197,103.3096,95.8551,100.3872,99.4187,0,0,0,0
115,98.9301,102.5161,99.9372,99.1271,50.749,0,0,0,0,50.979,103.7121,96.0694,100.1834,99.3155,0,0,0,0
116,98.62,102.3252,100.3495,99.477,50.5665,0,0,0,0,51.3379,104.0335,96.3034,99.7691,98.8944,0,0,0,0
117,98.2498,102.2551,99.97,99.5268,50.9528,0,0,0,0,51.4092,103.691,96.2463,99.6948,98.9131,0,0,0,0
118,98.1665,102.5569,99.7821,99.0614,51.2887,0,0,0,0,50.9488,103.9572,96.5094,99.3043,99.1358,0,0,0,0
119,98.5584,102.8589,99.5773,99.334,50.8161,0,0,0,0,51.1415,103.9733,96.6443,99.358,99.0276,0,0,0,0
120,99.0571,103.015,99.6658,98.8994,50.6324,0,0,0,0,51.6254,103.5147,96.8274,99.2189,99.0833,0,0,0,0
121,98.9149,102.8536,99.2031,98.711,50.7556,0,0,0,0,51.496,103.4917,96.5068,99.1426,98.801,0,0,0,0
122,99.1872,102.6805,99.6635,99.0285,50.0659,0,0,0,0,52.5942,103.3851,96.4609,98.654,98.5313,0,0,0,0
123,99.1651,102.608,100.1527,98.7528,49.7913,0,0,0,0,52.699,102.9264,96.4606,98.9458,98.4382,0,0,0,0
124,98.7859,102.5292,100.4408,99.2222,49.5787,0,0,0,0,52.6825,103.189,95.9767,99.3545,98.3541,0,0,0,0
125,98.3811,102.9523,100.165,98.9362,49.6899,0,0,0,0,52.4185,103.6363,95.7918,99.2319,98.0461,0,0,0,0
126,98.4879,103.3566,99.9978,99.0924,49.5025,0,0,0,0,52.8432,104.0595,95.3334,98.809,98.3921,0,0,0,0
127,98.8884,103.7454,100.3197,99.2032,49.3212,0,0,0,0,53.5192,104.4367,95.3624,98.3099,98.8497,0,0,0,0
128,99.3528,104.0208,100.4997,99.4632,48.448,0,0,0,0,54.3648,104.1231,95.2094,98.1262,98.9609,0,0,0,0
129,99.7868,104.4792,100.4592,99.6513,48.1373,0,0,0,0,55.011,104.5785,95.2029,98.0601,98.6613,0,0,0,0
130,99.7669,104.7564,100.9034,99.4953,47.3132,0,0,0,0,55.511,104.1963,94.9834,98.0531,98.4914,0,0,0,0
131,99.7088,104.5939,101.144,99.9146,47.9366,0,0,0,0,55.118,104.3824,95.3718,98.5016,98.9241,0,0,0,0
132,99.3957,104.6422,100.9002,99.6728,48.7755,0,0,0,0,54.7727,104.2124,95.6953,98.9275,98.7786,0,0,0,0
133,99.7575,104.8095,100.4473,99.6796,49.1788,0,0,0,0,53.942,104.4421,96.1637,99.2872,99.0377,0,0,0,0
134,99.9055,104.4084,100.0373,99.2028,49.4469,0,0,0,0,53.6099,104.1848,95.745,99.7483,98.7129,0,0,0,0
135,99.4579,104.4733,99.8762,99.03,49.6358,0,0,0,0,53.6925,104.2921,95.3338,99.388,98.7668,0,0,0,0
136,99.9331,104.7332,99.6165,99.0849,50.0104,0,0,0,0,53.6634,104.6949,95.4668,99.4999,99.0531,0,0,0,0
137,100.2327,105.1632,99.8441,99.5837,49.344,0,0,0,0,54.2466,104.7891,95.7784,99.0637,99.29,0,0,0,0
138,99.9053,105.0129,99.9397,99.589,49.6189,0,0,0,0,54.3023,104.5548,95.5664,98.8711,99.7711,0,0,0,0
139,100.2171,104.9665,100.3763,99.9748,49.3189,0,0,0,0,54.4574,104.9117,96.0398,98.4367,100.0081,0,0,0,0
140,100.0245,105.2183,100.1647,100.023,48.9636,0,0,0,0,54.6804,104.9367,95.8467,97.9609,99.9694,0,0,0,0
141,100.1886,104.9892,99.8809,100.0175,49.2998,0,0,0,0,54.3324,104.7184,96.0263,97.8939,100.4049,0,0,0,0
142,99.8106,105.1927,100.1806,100.4,48.9746,0,0,0,0,54.8654,104.4968,96.3337,97.4767,100.386,0,0,0,0
143,99.7559,105.6437,100.1391,100.852,49.0896,0,0,0,0,54.8418,104.6349,96.6523,97.5911,100.7603,0,0,0,0
144,100.1547,105.3402,100.4911,101.2145,49.2278,0,0,0,0,55.0479,104.9422,96.7508,98.046,100.6413,0,0,0,0
145,99.7216,105.4263,100.5958,101.6645,48.8968,0,0,0,0,55.3655,104.9396,97.0692,97.6288,100.3018,0,0,0,0
146,99.8114,105.1796,101.0078,101.3854,49.1127,0,0,0,0,55.2663,105.2507,97.3224,97.2172,100.4402,0,0,0,0
147,100.0961,105.1328,100.6388,100.9629,49.5536,0,0,0,0,55.3066,104.7868,97.6771,97.1182,100.4955,0,0,0,0
148,99.9339,105.1476,100.2623,100.8082,49.8726,0,0,0,0,55.2622,104.5192,97.5606,97.1268,100.5557,0,0,0,0
149,99.6205,105.1844,100.2415,100.7855,50.2011,0,0,0,0,55.0077,104.2689,97.164,97.5737,101.0188,0,0,0,0
150,100.0267,105.1812,100.0046,100.4284,50.1054,0,0,0,0,54.6301,104.0533,97.3666,97.7945,100.9018,0,0,0,0
151,99.8693,104.8329,99.8678,100.6725,50.3615,0,0,0,0,54.4396,104.1166,97.5736,97.8076,100.6666,0,0,0,0
152,100.0354,104.5215,99.6353,100.5107,50.7261,0,0,0,0,54.3041,103.9172,97.9623,98.0312,100.2141,0,0,0,0
153,100.4057,104.6296,99.8583,100.3117,50.7615,0,0,0,0,54.724,104.3249,97.7447,98.3392,99.8341,0,0,0,0
154,100.1295,104.8459,99.5266,100.2836,51.1925,0,0,0,0,54.3863,104.6733,97.9818,98.1062,99.8305,0,0,0,0
155,100.0116,104.9117,99.7353,100.2765,50.4749,0,0,0,0,54.8668,104.6457,97.6161,97.7872,99.4943,0,0,0,0
156,100.3529,104.737,99.4076,100.6884,49.9843,0,0,0,0,55.0964,104.3186,98.0061,97.5081,99.2409,0,0,0,0
157,100.2096,104.9183,99.6903,101.1883,49.4713,0,0,0,0,55.4649,104.1379,97.9928,97.7561,99.126,0,0,0,0
158,100.2831,105.0507,99.7493,101.2224,50.101,0,0,0,0,54.8559,104.5733,98.3711,97.9958,99.6104,0,0,0,0
159,100.2012,105.06,100.0727,101.2329,50.1081,0,0,0,0,55.067,105.0266,97.9278,98.2959,99.3575,0,0,0,0
160,100.0057,105.4466,99.6586,100.9929,50.1593,0,0,0,0,55.2508,105.2291,97.4983,98.3618,98.9232,0,0,0,0
161,99.7358,105.0168,100.0486,101.1487,50.2412,0,0,0,0,54.9628,105.5926,97.2606,98.8439,98.5313,0,0,0,0
162,99.6097,104.9075,100.2432,101.5029,49.8421,0,0,0,0,54.9585,105.6278,97.4334,98.6143,98.4714,0,0,0,0
163,100.1067,105.0949,99.9577,101.7091,49.3399,0,0,0,0,55.0689,105.1817,97.548,99.0702,98.3394,0,0,0,0
164,100.5557,104.9863,99.7533,101.9731,49.1841,0,0,0,0,54.881,105.0898,97.4052,99.3202,98.7563,0,0,0,0
165,100.3872,104.5771,99.7227,101.4818,49.6156,0,0,0,0,54.1192,104.8986,96.9909,99.7385,99.0372,0,0,0,0
166,100.3346,104.344,100.1982,101.2244,49.2124,0,0,0,0,54.3089,104.8413,96.9822,99.5101,98.6711,0,0,0,0
167,100.8331,104.5321,99.7848,100.84,49.1322,0,0,0,0,54.1224,105.0391,96.6811,99.2559,99.0237,0,0,0,0
168,100.91,104.4238,99.9362,101.2343,48.8412,0,0,0,0,54.0093,105.1144,96.2233,99.649,99.3496,0,0,0,0
169,101.151,104.9209,99.6117,101.045,48.8508,0,0,0,0,53.9051,105.2484,96.4939,99.8194,99.1126,0,0,0,0
170,101.234,104.8723,99.714,100.5937,49.2173,0,0,0,0,53.5885,105.2213,96.8909,100.0131,98.9175,0,0,0,0
171,100.813,104.7228,100.1693,100.662,48.6654,0,0,0,0,53.7638,105.0514,96.4407,99.7494,99.0272,0,0,0,0
172,101.2111,104.643,99.718,100.9916,48.1534,0,0,0,0,53.8082,104.9232,96.6902,99.3172,98.9784,0,0,0,0
173,100.8001,104.6283,99.7739,100.9043,48.0608,0,0,0,0,53.9785,104.8735,96.6385,99.0855,98.5914,0,0,0,0
174,100.9842,104.955,99.9331,100.8299,47.6733,0,0,0,0,54.7706,104.6747,96.2734,99.4227,98.2341,0,0,0,0
175,100.8501,104.8579,100.097,101.2291,47.878,0,0,0,0,54.6883,105.0022,96.4794,99.3805,98.3617,0,0,0,0
176,101.3014,105.0325,99.6946,101.4672,47.3896,0,0,0,0,54.8914,104.9867,96.1877,99.6121,98.2073,0,0,0,0
177,101.3643,104.7164,99.6994,101.3232,47.0152,0,0,0,0,55.1546,104.6508,95.808,99.6681,97.8369,0,0,0,0
178,100.9399,105.0687,99.9621,100.8693,47.3155,0,0,0,0,55.2743,105.0232,96.0065,99.513,97.3385,0,0,0,0
179,100.6782,105.4447,99.6933,100.9672,47.1071,0,0,0,0,55.9267,104.5325,95.6384,99.2638,97.529,0,0,0,0
180,100.2623,105.1105,99.697,100.6892,47.8557,0,0,0,0,54.9908,104.1963,96.039,99.5797,97.809,0,0,0,0
181,99.9377,104.7465,99.6361,100.2249,48.2177,0,0,0,0,54.4933,103.8905,96.3819,99.4616,97.5356,0,0,0,0
182,100.3387,104.8263,100.0199,100.4917,47.2728,0,0,0,0,55.3925,104.0211,96.0133,99.2741,97.2484,0,0,0,0
183,100.1236,104.6993,99.8581,100.8153,47.575,0,0,0,0,55.0092,104.1423,96.4777,99.5692,96.8728,0,0,0,0
184,99.6493,104.8627,100.1251,101.1117,47.5649,0,0,0,0,54.9411,104.4433,96.4257,99.6127,96.891,0,0,0,0
185,99.7551,104.4453,100.504,101.3609,47.4416,0,0,0,0,55.413,104.2259,95.9274,99.6418,97.2988,0,0,0,0
186,99.4364,104.9092,100.4714,101.6414,46.8748,0,0,0,0,55.7389,104.2584,95.7244,99.5703,97.0411,0,0,0,0
187,99.0446,105.2033,100.6404,101.6901,46.747,0,0,0,0,55.5323,103.9806,96.0193,99.3759,97.4173,0,0,0,0
188,98.9626,105.2272,100.6966,101.6364,46.2223,0,0,0,0,55.5869,103.8215,96.0831,99.1866,97.0671,0,0,0,0
189,98.8057,104.8898,100.2522,102.0115,46.4081,0,0,0,0,54.95,104.0319,96.3176,99.4311,96.6367,0,0,0,0
190,98.8433,104.5961,100.748,101.7528,45.7731,0,0,0,0,55.467,103.64,95.9048,99.4977,96.2037,0,0,0,0
191,99.1816,104.769,101.2411,101.2777,45.136,0,0,0,0,55.8179,103.4195,96.3775,99.0949,95.8956,0,0,0,0
192,98.6929,105.2079,100.9076,100.9191,45.9261,0,0,0,0,54.8938,103.2736,96.5818,99.5099,96.3944,0,0,0,0
193,98.481,105.4058,100.5307,100.9065,46.4822,0,0,0,0,54.7276,103.1205,96.8823,99.7703,96.3056,0,0,0,0
194,98.4128,105.7716,100.6507,100.442,46.6253,0,0,0,0,54.3005,103.4656,97.2243,99.4093,96.5026,0,0,0,0
195,98.1705,105.5084,100.7412,100.8742,46.655,0,0,0,0,54.4904,103.291,97.2194,99.2132,96.7353,0,0,0,0
196,97.8401,105.6156,100.7702,101.2661,46.414,0,0,0,0,54.246,103.3418,97.3542,98.8794,97.0846,0,0,0,0
197,98.0275,105.5843,101.1128,101.5309,45.8486,0,0,0,0,55.0857,102.8672,97.2938,98.7155,97.1419,0,0,0,0
198,97.8493,106.0208,100.7636,101.1487,45.4875,0,0,0,0,54.9616,102.4928,97.2933,98.8515,96.6707,0,0,0,0
199,97.6708,105.7588,100.5225,101.5197,44.9834,0,0,0,0,55.1045,102.2235,96.7984,98.8574,96.4714,0,0,0,0
200,97.7211,105.867,100.7873,101.1741,44.7429,0,0,0,0,55.1725,102.3702,97.2261,98.4968,96.0269,0,0,0,0
201,97.3648,106.1399,100.8269,101.361,44.4837,0,0,0,0,55.4943,102.1369,97.5716,98.243,95.7304,0,0,0,0
202,96.9474,105.8727,101.3076,101.0315,44.5275,0,0,0,0,55.1519,101.6887,97.5796,98.5271,95.7393,0,0,0,0
203,96.8856,106.2074,100.845,101.4645,44.1239,0,0,0,0,55.6955,101.2451,97.1802,98.8217,95.5839,0,0,0,0
204,96.7612,105.9444,101.3123,101.2945,43.7006,0,0,0,0,55.6211,101.2772,96.9774,99.0137,95.1237,0,0,0,0
205,97.1235,106.0304,101.6068,101.0316,43.6602,0,0,0,0,55.6473,101.6437,96.8502,99.3645,94.9469,0,0,0,0
