year,XEUOUZ,DCPWLP,XEYOPS,XXDGJI,WSRNWD,LDCKJJ,THIBEV,ZKTWAS,ROQWUT,BZFTZE,EIDUNJ,HPPEVH,ICGDTN,COQYCO,YATYVW,AKRDYU,KJIGPC,UQWXRL
44,115.2437,87.5735,99.0307,113.2794,52.5613,0,0,0,0,54.3842,109.4733,99.1247,103.6278,100.0786,0,0,0,0
45,115.4549,85.6475,98.3577,114.2904,53.8064,0,0,0,0,53.8512,109.2872,97.324,104.8268,101.2677,0,0,0,0
46,116.4119,86.7707,96.6835,115.586,51.9246,0,0,0,0,55.9098,108.7462,97.847,104.2825,99.5912,0,0,0,0
47,114.6113,87.3974,98.4287,117.2974,52.5888,0,0,0,0,54.8698,109.8729,97.9651,106.1076,100.5082,0,0,0,0
48,116.2972,88.5295,98.7061,115.8042,50.9268,0,0,0,0,56.6753,109.8797,96.7485,104.9785,100.9818,0,0,0,0
49,117.3451,86.981,99.4749,114.0435,50.963,0,0,0,0,57.5392,108.8844,94.8764,105.4498,101.0577,0,0,0,0
50,115.3933,88.3725,98.9636,113.1084,52.1267,0,0,0,0,57.5579,108.85,95.9666,105.3409,99.2491,0,0,0,0
51,115.5652,86.6359,98.3954,111.802,52.2553,0,0,0,0,55.9717,108.7341,96.635,104.2867,98.0262,0,0,0,0
52,116.3213,86.9689,99.5039,111.3449,49.9046,0,0,0,0,56.3412,107.1656,95.0057,105.3315,99.1996,0,0,0,0
53,116.2656,86.3432,100.4688,109.8033,51.7586,0,0,0,0,53.9443,108.5086,96.8679,104.9872,99.3316,0,0,0,0
54,114.393,84.3648,101.3018,108.5034,53.3789,0,0,0,0,52.9643,109.4598,95.7756,104.2568,98.4854,0,0,0,0
55,114.0263,82.7215,100.743,109.7937,54.5303,0,0,0,0,50.3847,108.0331,96.946,105.5292,99.9218,0,0,0,0
56,114.6944,84.004,101.8448,108.7813,53.1215,0,0,0,0,51.715,108.1961,96.2618,104.9204,100.3527,0,0,0,0
57,116.3457,82.5869,102.3852,110.286,52.2859,0,0,0,0,52.7076,109.2222,96.1831,105.1221,99.6547,0,0,0,0
58,114.5418,83.6886,103.2504,111.4448,51.0182,0,0,0,0,55.3612,111.1085,95.2372,103.1937,98.0431,0,0,0,0
59,114.0755,81.7642,104.2494,110.987,51.4315,0,0,0,0,54.95,112.7249,95.0299,102.4757,96.3271,0,0,0,0
60,115.7646,82.9015,103.097,111.8035,50.331,0,0,0,0,54.9056,113.5072,93.0865,103.8023,97.596,0,0,0,0
61,117.1045,83.9185,104.2928,111.3697,50.1555,0,0,0,0,56.6181,114.9218,93.4207,103.028,97.8523,0,0,0,0
62,117.9494,83.5227,103.0424,111.5518,51.4778,0,0,0,0,56.9937,115.1734,95.2836,101.9586,97.1348,0,0,0,0
63,116.1069,81.8175,101.6552,112.1532,53.7017,0,0,0,0,54.0902,113.4523,97.0381,101.2016,98.6522,0,0,0,0
64,115.3765,82.9629,99.9217,111.732,54.9734,0,0,0,0,53.8567,112.9478,96.7705,99.8477,100.5438,0,0,0,0
65,114.9803,81.9838,101.2867,113.7058,55.3183,0,0,0,0,53.1854,112.8336,98.3329,101.1635,100.7596,0,0,0,0
66,115.919,83.1901,100.5864,115.2683,53.9936,0,0,0,0,56.0434,112.8596,97.128,101.598,100.3284,0,0,0,0
67,117.0746,83.0848,100.4083,113.5296,52.6461,0,0,0,0,56.6397,110.9346,96.802,102.2158,99.1512,0,0,0,0
68,115.7254,83.8664,102.3355,114.1214,53.3928,0,0,0,0,56.4514,112.2933,97.8256,101.5568,100.3143,0,0,0,0
69,115.2937,85.5621,103.7373,113.7292,49.6937,0,0,0,0,59.776,110.8761,96.039,101.6594,98.6655,0,0,0,0
70,116.6372,84.1705,103.1849,112.811,49.3622,0,0,0,0,59.4077,111.2447,95.3939,100.4602,98.6593,0,0,0,0
71,115.9747,85.6099,103.6587,114.7033,47.2597,0,0,0,0,61.0101,112.5062,93.9204,99.0795,99.69,0,0,0,0
72,116.431,86.7613,104.8905,113.435,46.4364,0,0,0,0,60.5134,111.4766,93.6565,100.5929,100.7148,0,0,0,0
73,115.9732,87.6463,104.2548,111.9115,47.2095,0,0,0,0,58.8996,110.6828,94.9581,100.5884,100.8663,0,0,0,0
74,116.0364,86.3656,104.9502,112.0975,46.1516,0,0,0,0,58.6196,108.9253,93.5206,102.4587,101.0772,0,0,0,0
75,116.4334,86.3664,104.2766,113.9875,47.1072,0,0,0,0,58.3583,107.3673,94.3829,104.0424,103.0202,0,0,0,0
76,117.7651,87.4312,102.8782,112.2018,47.5023,0,0,0,0,58.1094,108.3962,92.8504,103.4378,103.9848,0,0,0,0
77,118.0312,86.3024,103.1822,111.6624,48.3063,0,0,0,0,58.8157,106.8938,91.1686,105.2375,104.369,0,0,0,0
78,117.6766,88.2789,104.5697,112.3037,45.2865,0,0,0,0,63.1527,106.0066,89.6567,104.4945,103.8049,0,0,0,0
79,116.3881,90.0567,104.4017,114.138,47.3734,0,0,0,0,62.6811,107.709,90.314,105.9872,104.6666,0,0,0,0
80,115.9865,88.6209,104.4255,113.5466,50.6055,0,0,0,0,59.7488,108.6333,90.1269,107.9056,105.7704,0,0,0,0
81,114.8063,87.8883,103.2637,114.9999,51.4686,0,0,0,0,60.0275,107.5063,89.2935,109.4149,105.1846,0,0,0,0
82,116.5466,89.1172,104.6959,115.1131,48.7683,0,0,0,0,62.0014,108.8542,87.3254,110.4506,104.6095,0,0,0,0
83,116.9132,89.074,103.0832,113.3047,52.6942,0,0,0,0,57.9997,110.6534,88.4939,110.859,106.0633,0,0,0,0
84,118.8809,87.5743,102.3937,114.4128,52.2134,0,0,0,0,58.8037,110.883,89.52,110.0433,105.2251,0,0,0,0
85,120.4029,89.3696,102.4507,113.0068,49.324,0,0,0,0,59.7477,109.4326,88.9587,108.5685,106.8465,0,0,0,0
86,122.3079,88.1948,100.7715,114.8995,47.5357,0,0,0,0,60.3433,108.835,89.3872,108.7617,105.3821,0,0,0,0
87,122.814,86.5603,101.3266,114.8925,46.8621,0,0,0,0,60.5482,108.9891,88.5723,107.3438,106.002,0,0,0,0
88,120.8877,87.0342,99.8626,116.7919,47.5799,0,0,0,0,58.2308,110.3967,89.2116,105.9081,107.4091,0,0,0,0
89,121.8737,86.2956,98.3399,116.0226,48.427,0,0,0,0,56.9508,109.0785,90.234,104.462,109.2335,0,0,0,0
90,122.2813,87.9116,96.591,114.2718,49.3544,0,0,0,0,55.5156,108.5932,90.8837,104.8447,109.5728,0,0,0,0
91,121.7783,88.0812,96.4424,115.6513,50.6943,0,0,0,0,53.4618,108.783,92.6728,106.5674,110.1625,0,0,0,0
92,119.988,86.6274,98.3785,115.0218,50.9383,0,0,0,0,52.7704,109.543,92.5813,106.6804,108.3788,0,0,0,0
93,121.0663,85.3998,98.706,113.9571,52.2298,0,0,0,0,51.535,107.8622,94.1699,107.2292,109.5627,0,0,0,0
94,119.5112,83.8202,98.4087,114.6426,53.6222,0,0,0,0,50.0169,108.5544,93.556,108.3872,108.4904,0,0,0,0
95,118.8396,82.3708,99.2918,115.6935,54.8056,0,0,0,0,48.9071,109.1351,95.2143,109.2005,107.5443,0,0,0,0
96,117.2132,82.6484,99.5278,116.1291,55.4101,0,0,0,0,46.9539,111.1146,94.6083,108.9634,108.2884,0,0,0,0
97,117.9185,81.7732,98.1212,114.2817,59.0176,0,0,0,0,44.8276,110.5254,96.3061,109.1787,109.2743,0,0,0,0
98,117.9775,80.332,96.5681,115.797,59.0076,0,0,0,0,45.873,109.5723,95.3058,110.6231,107.308,0,0,0,0
99,117.1614,80.6268,98.3653,116.0721,57.1693,0,0,0,0,47.8736,109.4187,94.4743,110.7987,105.8296,0,0,0,0
100,119.0493,78.934,100.0523,116.7741,55.369,0,0,0,0,49.1813,108.595,96.3931,110.556,104.4532,0,0,0,0
101,120.7893,77.51,101.7094,118.5104,53.9441,0,0,0,0,52.0906,107.7989,98.3566,109.7245,103.4925,0,0,0,0
102,120.8309,77.0152,103.1788,116.7983,55.1188,0,0,0,0,51.9107,105.9914,97.3075,111.5835,105.149,0,0,0,0
103,121.3275,78.9386,105.0562,115.1676,52.5865,0,0,0,0,52.5512,104.1851,97.9991,112.8917,104.4494,0,0,0,0
104,121.1983,77.3285,103.6753,116.0327,56.1075,0,0,0,0,49.2919,105.2032,99.5377,113.0971,106.2123,0,0,0,0
105,121.0308,78.8318,103.0599,115.0116,55.8171,0,0,0,0,47.9114,106.2608,98.9558,112.1036,107.5196,0,0,0,0
106,120.2539,77.9433,104.0914,116.7638,54.5898,0,0,0,0,50.0018,104.9129,99.5617,111.4741,106.6917,0,0,0,0
107,120.9655,77.6434,105.6155,116.5585,53.6842,0,0,0,0,51.8783,102.9528,101.2328,109.5928,107.8104,0,0,0,0
108,119.665,78.401,104.3566,115.5137,53.7973,0,0,0,0,50.4931,103.0939,100.6311,108.2681,108.2474,0,0,0,0
109,119.8689,77.3585,105.7218,114.222,54.1041,0,0,0,0,49.8428,102.3105,101.1524,108.2765,108.693,0,0,0,0
110,121.7199,76.9224,104.2309,115.4996,52.3086,0,0,0,0,51.0824,101.3166,102.3294,107.547,107.406,0,0,0,0
111,120.6693,78.6475,104.7778,115.2808,52.8143,0,0,0,0,51.5747,100.4,102.3042,108.1759,108.7349,0,0,0,0
112,121.9211,78.5655,105.7193,115.9117,51.3991,0,0,0,0,54.3344,100.6882,100.5385,109.3492,107.6064,0,0,0,0
113,123.673,76.7108,107.2587,114.7239,52.6636,0,0,0,0,55.0469,100.12,102.5377,107.9917,108.3336,0,0,0,0
114,124.6057,77.0562,106.1395,113.855,51.8195,0,0,0,0,55.7523,100.6821,101.8301,106.1095,108.1019,0,0,0,0
115,125.3729,76.3357,104.5777,113.7645,53.1442,0,0,0,0,53.2321,101.4239,103.6537,107.4989,106.3863,0,0,0,0
116,125.6624,75.4508,104.5526,113.3243,56.1984,0,0,0,0,51.8509,102.0812,103.3375,109.2832,107.6357,0,0,0,0
117,126.9908,73.5137,104.6016,111.4676,56.7282,0,0,0,0,51.1647,101.6068,103.847,109.1259,106.5574,0,0,0,0
118,126.1663,75.0412,103.4675,111.5639,58.3943,0,0,0,0,51.1146,103.0317,105.617,107.7493,106.1207,0,0,0,0
119,128.1608,73.7687,103.1758,110.6041,55.1329,0,0,0,0,53.6791,101.4495,103.9678,106.4186,104.3272,0,0,0,0
120,129.6775,73.084,103.8024,110.8053,55.2092,0,0,0,0,55.2457,101.1255,103.7051,107.4244,104.0777,0,0,0,0
121,130.4428,72.1232,102.1206,109.9532,56.3917,0,0,0,0,55.8953,102.5409,101.8102,107.2195,102.5656,0,0,0,0
122,129.3557,73.3626,101.5438,111.4404,55.4585,0,0,0,0,55.5543,102.8919,100.0693,107.9639,103.6817,0,0,0,0
123,131.3261,72.7051,100.4618,112.4782,55.7949,0,0,0,0,56.6837,103.8798,100.0801,108.2726,102.8499,0,0,0,0
124,131.3812,70.8803,100.0347,113.9342,57.5712,0,0,0,0,56.1716,104.4886,99.0577,110.2551,102.8287,0,0,0,0
125,131.9366,72.2288,98.9634,115.2901,55.8329,0,0,0,0,56.4285,105.2092,100.9476,109.7937,100.8728,0,0,0,0
126,132.3507,72.8568,96.9727,115.6418,55.0746,0,0,0,0,55.8363,103.6628,99.4208,110.9246,102.052,0,0,0,0
127,130.5641,71.026,95.6946,115.5545,58.0087,0,0,0,0,52.8373,104.8261,98.9394,110.3256,102.9195,0,0,0,0
128,129.2459,69.7258,94.752,117.5034,58.5923,0,0,0,0,50.61,106.2585,98.4866,109.3985,104.0659,0,0,0,0
129,128.0759,71.6817,94.5103,116.3417,57.7562,0,0,0,0,53.1156,104.6937,98.4471,107.6137,103.4957,0,0,0,0
130,126.9804,72.8193,94.0659,115.0218,58.4342,0,0,0,0,53.3627,102.8381,98.52,107.0977,104.5031,0,0,0,0
131,126.0689,71.2306,93.5685,115.8379,59.3652,0,0,0,0,52.804,104.4542,96.868,106.9436,104.0013,0,0,0,0
132,126.064,73.0443,93.5834,116.6321,58.6791,0,0,0,0,54.7611,103.6762,97.6353,107.0043,103.9259,0,0,0,0
133,126.8451,73.0324,94.1649,117.9913,56.9412,0,0,0,0,57.1045,103.546,96.6751,108.1654,102.4839,0,0,0,0
134,127.8976,74.0968,92.5031,116.7912,58.2149,0,0,0,0,55.0562,103.7066,98.3153,107.6288,103.7967,0,0,0,0
135,126.9647,75.942,94.0813,118.4594,57.1862,0,0,0,0,57.0599,105.007,98.144,108.2195,103.2031,0,0,0,0
136,125.1154,75.7174,93.9881,119.7368,57.9412,0,0,0,0,56.1192,103.9473,98.0398,109.6557,103.7369,0,0,0,0
137,126.6988,76.6747,93.482,120.3157,57.074,0,0,0,0,55.2684,105.2037,96.2848,110.9173,105.571,0,0,0,0
138,127.0413,75.4703,93.6946,119.6634,58.2787,0,0,0,0,52.6774,103.9143,97.9967,111.9648,106.5951,0,0,0,0
139,127.0233,74.0998,94.2184,120.7518,58.9582,0,0,0,0,52.8537,105.6064,98.5407,111.8313,105.2193,0,0,0,0
140,126.754,75.3128,95.7494,122.3884,58.441,0,0,0,0,54.9116,106.283,99.3922,112.8211,104.2377,0,0,0,0
141,126.7207,77.1289,95.3123,121.588,57.0991,0,0,0,0,57.4235,105.0435,98.1076,111.6236,104.6508,0,0,0,0
142,125.3364,78.5071,95.5994,122.5705,58.9126,0,0,0,0,56.0943,106.3302,98.5279,112.4818,106.4918,0,0,0,0
143,126.2921,78.058,93.9498,123.3051,58.1848,0,0,0,0,55.5096,106.6918,97.8519,112.2083,106.5282,0,0,0,0
144,125.9473,77.2525,92.9252,122.4255,61.9646,0,0,0,0,53.01,108.3784,98.9474,114.0013,105.1779,0,0,0,0
145,127.6455,76.9213,92.2411,122.7088,60.5055,0,0,0,0,52.5526,108.1342,98.4146,115.6484,104.2724,0,0,0,0
146,127.1406,78.5684,90.5298,121.1273,62.6227,0,0,0,0,51.094,108.7744,99.723,114.2645,105.1329,0,0,0,0
147,125.5918,80.056,90.7751,121.7665,62.5898,0,0,0,0,50.8729,108.8473,100.402,113.7178,105.9392,0,0,0,0
148,124.4786,81.7196,91.7903,119.8581,62.705,0,0,0,0,50.2709,109.8219,100.4765,113.9272,105.0551,0,0,0,0
149,125.0375,82.4617,92.2537,119.6007,62.505,0,0,0,0,51.7467,110.1375,99.9112,112.6356,106.4276,0,0,0,0
150,126.9432,83.217,92.322,121.4948,57.2761,0,0,0,0,55.3541,109.0162,98.2557,110.9472,106.68,0,0,0,0
151,125.3126,82.6021,92.4897,120.8333,59.7241,0,0,0,0,53.3889,108.8154,99.1275,111.3328,107.2971,0,0,0,0
152,127.1304,81.9782,94.2746,121.8295,59.8836,0,0,0,0,54.8934,107.6963,99.6604,112.8022,109.0441,0,0,0,0
153,126.7534,80.2027,95.4638,123.5205,60.4168,0,0,0,0,54.5238,109.0541,98.8318,114.6473,108.3001,0,0,0,0
154,125.3634,78.9692,93.9722,125.1228,60.7758,0,0,0,0,52.8457,108.523,99.8252,113.8627,108.1467,0,0,0,0
155,123.5833,77.6195,94.646,124.4694,64.3307,0,0,0,0,50.6639,109.4117,101.7051,114.0891,107.779,0,0,0,0
156,123.1287,76.4088,94.405,123.623,66.9495,0,0,0,0,49.1423,108.9885,103.6848,114.0299,107.6695,0,0,0,0
157,122.0079,76.6597,94.3225,124.3439,67.9992,0,0,0,0,48.1066,109.5102,105.6056,115.1457,105.965,0,0,0,0
158,122.8669,74.7534,93.2554,125.2283,69.0728,0,0,0,0,48.5155,108.4775,104.1357,116.3747,106.6733,0,0,0,0
159,123.9297,73.9868,93.3719,125.5213,69.1325,0,0,0,0,49.6509,109.9033,104.9652,114.6201,105.8027,0,0,0,0
160,123.2832,72.8314,94.425,126.4279,69.1746,0,0,0,0,49.3741,108.3916,105.7658,116.5175,105.093,0,0,0,0
161,124.4516,71.1819,95.0297,128.0675,68.7375,0,0,0,0,48.1031,108.0131,107.1477,116.4075,106.7969,0,0,0,0
162,125.2166,69.9696,95.196,126.8438,68.2318,0,0,0,0,47.6675,109.8646,106.1659,114.6536,106.1063,0,0,0,0
163,126.0788,68.168,95.3553,127.1878,69.1851,0,0,0,0,45.166,111.6567,106.9834,114.4364,106.7324,0,0,0,0
164,125.6263,66.8291,95.5699,128.7198,69.6264,0,0,0,0,44.2655,112.7099,105.9103,115.8478,106.6379,0,0,0,0
165,126.2073,65.8104,96.3952,129.1972,70.0379,0,0,0,0,45.6155,111.391,106.5782,116.0937,106.9695,0,0,0,0
166,124.5332,64.87,96.8232,128.8478,71.685,0,0,0,0,44.1563,112.4531,105.4315,116.5366,107.1817,0,0,0,0
167,125.1227,64.6146,97.9407,127.3054,73.323,0,0,0,0,41.8124,114.3223,106.8801,118.0211,106.2704,0,0,0,0
168,125.271,64.7054,96.8154,126.7799,73.8645,0,0,0,0,41.872,113.4369,107.9519,116.5972,106.5782,0,0,0,0
169,127.0293,63.0064,97.0177,128.2345,71.4304,0,0,0,0,43.3265,112.5609,108.6636,115.2549,105.9123,0,0,0,0
170,125.9693,64.109,96.7459,127.7569,72.7016,0,0,0,0,42.6282,113.4194,110.3337,114.49,105.4114,0,0,0,0
171,127.5662,64.9606,98.5245,127.1799,69.0449,0,0,0,0,46.6799,113.328,108.4218,113.2911,104.5553,0,0,0,0
172,126.3465,65.1281,98.3989,126.5675,66.6343,0,0,0,0,47.9123,112.8333,106.6459,111.2954,103.3884,0,0,0,0
173,127.0465,64.8556,100.3284,128.5472,64.4133,0,0,0,0,48.435,112.811,108.5717,111.5782,102.7951,0,0,0,0
174,126.4654,64.5925,99.9155,129.5527,66.2245,0,0,0,0,45.7382,114.1748,109.6852,111.8471,104.3054,0,0,0,0
175,124.9391,66.0204,101.5734,128.4846,66.3006,0,0,0,0,47.4817,112.4174,109.9599,111.57,104.889,0,0,0,0
176,126.1268,67.3392,102.7755,126.6832,64.0259,0,0,0,0,48.6232,111.0863,109.2905,112.3556,104.595,0,0,0,0
177,126.5335,69.1747,102.5537,125.7121,65.1715,0,0,0,0,47.1156,112.407,109.3424,114.0635,105.2171,0,0,0,0
178,125.2142,68.8565,100.9992,124.0123,65.517,0,0,0,0,46.612,110.6684,109.8296,112.068,104.4212,0,0,0,0
179,123.3766,68.2583,99.7423,123.1228,66.1542,0,0,0,0,44.5463,109.7153,109.2842,112.1434,103.9649,0,0,0,0
180,123.0924,67.7175,99.3936,124.3577,68.076,0,0,0,0,41.2239,110.5218,110.3755,113.8677,105.6483,0,0,0,0
181,123.7332,68.4682,98.226,124.016,67.9221,0,0,0,0,39.7953,111.6684,110.3095,113.6074,105.9849,0,0,0,0
182,124.1092,66.8436,100.1785,124.6001,65.1622,0,0,0,0,42.0048,112.6771,108.3694,111.8101,105.0321,0,0,0,0
183,126.0767,67.7408,98.1872,124.4085,64.9219,0,0,0,0,41.7047,112.8469,106.547,113.6196,105.6168,0,0,0,0
184,125.6755,67.7122,98.5251,125.2852,65.2613,0,0,0,0,42.1121,114.0391,105.7405,114.7615,104.8061,0,0,0,0
185,127.4302,66.1951,99.9576,126.1411,62.8334,0,0,0,0,45.6409,112.3848,105.2766,114.689,103.5662,0,0,0,0
186,126.9503,66.2244,99.61,127.5111,62.5346,0,0,0,0,44.8761,112.5945,105.5079,116.5261,102.3258,0,0,0,0
187,125.4908,67.4701,98.8733,126.327,66.1505,0,0,0,0,42.843,114.3938,105.601,116.5623,103.9117,0,0,0,0
188,125.2966,67.0122,99.1045,125.1998,66.0152,0,0,0,0,41.0561,113.876,103.8301,117.735,105.1311,0,0,0,0
189,125.4937,66.9669,99.8435,127.0527,66.3072,0,0,0,0,41.4778,114.4506,103.5228,118.3977,106.8152,0,0,0,0
190,125.813,65.537,98.7292,127.481,65.8181,0,0,0,0,40.4916,115.4086,103.5621,117.889,105.0271,0,0,0,0
191,127.6695,63.7138,100.488,126.1342,67.732,0,0,0,0,40.5683,113.8118,104.8595,118.6338,106.8641,0,0,0,0
192,127.6093,64.8657,101.5081,127.0255,66.3262,0,0,0,0,41.0326,114.5654,106.5888,116.9948,107.1532,0,0,0,0
193,127.9253,66.1668,100.8409,125.0508,69.0527,0,0,0,0,38.991,113.5234,108.0561,118.3987,109.0672,0,0,0,0
194,129.2223,64.364,102.4045,124.4308,69.7573,0,0,0,0,36.6451,115.2302,109.4762,119.699,108.1284,0,0,0,0
195,130.2839,63.082,102.5667,125.7941,70.8205,0,0,0,0,34.326,117.1709,110.8214,119.8737,109.3552,0,0,0,0
196,129.7742,62.7829,103.4258,124.4226,72.1041,0,0,0,0,33.1981,117.4159,110.89,121.7613,108.2443,0,0,0,0
197,128.5953,61.5518,102.8784,124.3703,74.3296,0,0,0,0,31.364,119.0243,109.2348,123.0127,108.0897,0,0,0,0
198,126.9781,60.0926,101.7308,123.3597,76.6521,0,0,0,0,28.0242,118.9466,107.3838,123.9051,109.5536,0,0,0,0
199,125.6978,61.9995,101.061,121.4532,75.1722,0,0,0,0,29.6425,118.2659,106.3902,122.189,107.896,0,0,0,0
200,125.7536,62.3628,102.0715,121.4953,75.2741,0,0,0,0,29.7653,117.392,107.5131,121.9627,109.3242,0,0,0,0
201,126.4874,62.4922,100.1698,122.3402,73.3102,0,0,0,0,33.531,116.3569,105.959,120.1133,107.8395,0,0,0,0
202,128.3591,62.5587,100.5397,123.2813,71.7478,0,0,0,0,35.2188,118.1496,105.4839,120.3746,106.2597,0,0,0,0
203,128.8805,62.0346,101.38,124.1517,71.7446,0,0,0,0,33.457,119.7225,107.21,121.7967,105.0052,0,0,0,0
204,128.1328,61.7284,100.9907,122.5523,72.9525,0,0,0,0,31.3549,119.2293,109.1844,121.5056,104.0826,0,0,0,0
205,126.3037,59.78,99.0523,120.9518,76.1833,0,0,0,0,28.6696,117.4213,110.8242,121.0866,103.2694,0,0,0,0
